Long.,Lat.,Full_Name_ar,Full_Name_eng,Start_Date,End_Date,Zone,Emirate,Emirate_in_details 
55.53,23.85,العراد,Alarad ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
55.81,24.37,الفوعة,Alfoah,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
51.63,24.12,الغويفات,Algheweifat ,2003,2026,3,Abu Dhabi Emirate,Al Dhafra Region
55.10,24.16,الخزنة,Alkhazna ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
52.98,24.16,الجلاع,Alqlaa ,2003,2026,3,Abu Dhabi Emirate,Al Dhafra Region
56.15,24.91,القور,AlQor ,2012,2026,7,Ras Al Khaimah Emirate,Ras Al Khaimah_region
55.42,23.40,القوع,Alquaa ,2003,2026,4,Abu Dhabi Emirate,Al Ain_region
54.41,24.50,جزيرة الريم,ALReem Island ,2013,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
52.62,24.09,الرويس,AlRuwais ,2011,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.81,24.13,الوثبه,Alwathbah ,2003,2026,1,Abu Dhabi Emirate,Abu Dhabi_region
54.48,23.84,عرجان,Arjan ,2019,2026,4,Abu Dhabi Emirate,Abu Dhabi_region
54.24,24.94,أريله,Arylah GSM ,2015,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
52.56,24.80,أرزنه,Arzana Island ,2020,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.81,24.39,أشعب,Ashaab ,2012,2026,1,Abu Dhabi Emirate,Abu Dhabi_region
53.17,23.83,بدع دعفس,Bada Dafas ,2019,2026,5,Abu Dhabi Emirate,Al Dhafra Region
52.25,23.96,براكه,Barakah ,2016,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.53,23.51,أبو قرين,Abu Qrayn,2003,2026,4,Abu Dhabi Emirate,Al Dhafra Region
55.28,25.20,برج خليفة,Burj Khalifah ,2014,2026,6,Dubai Emirate,Dubai_region
52.29,24.49,دلما,Dalma ,2003,2026,3,Abu Dhabi Emirate,Al Dhafra Region
55.41,24.18,دمثة,Damtha ,2008,2026,1,Abu Dhabi Emirate,Al Ain_region
52.88,25.13,جزيرة داس,DAS ,2003,2026,3,Abu Dhabi Emirate,Al Dhafra Region
52.40,24.95,جزيرة ديينه,Dayyinah Island ,2019,2026,3,Abu Dhabi Emirate,Al Dhafra Region
56.32,25.51,ضدنا,Dhudna ,2003,2026,9,Al Fujairah Emirate,Al Fujairah_region
56.23,25.57,دبا,Dibba ,2018,2026,9,Al Fujairah Emirate,Al Fujairah_region
55.16,24.95,إكسبو 2020,Expo 2020 ,2021,2026,6,Dubai Emirate,Dubai_region
55.85,25.34,فلج المعلا,Falaj Al Moalla ,2003,2026,7,Umm Al Quwain Emirate,Umm Al Quwain
56.36,25.17,ميناء الفجيرة,Fujairah Port ,2015,2026,9,Al Fujairah Emirate,Al Fujairah_region
54.82,22.83,جسيورة,Gasyoura ,2010,2026,4,Abu Dhabi Emirate,Al Ain_region
56.14,25.90,الغزلة,Ghazla ,2018,2026,7,Ras Al Khaimah Emirate,Ras Al Khaimah_region
54.30,22.97,حميم,Hamim ,2003,2026,4,Abu Dhabi Emirate,Al Dhafra Region
56.14,24.81,حتا,Hatta ,2003,2026,7,Dubai Emirate,Dubai_region
52.64,24.17,جبل الظنة,Al Dhanna ,2021,2026,3,Abu Dhabi Emirate,Al Dhafra Region
56.12,25.93,جبل الرحبه,Jabal Al Rahba ,2022,2026,8,Ras Al Khaimah Emirate,Ras Al Khaimah_region
55.78,24.06,جبل حفيت,Jabal Hafeet GSM ,2003,2026,8,Abu Dhabi Emirate,Al Ain_region
56.17,25.95,جبل جيس,Jabal Jais ,2003,2026,8,Ras Al Khaimah Emirate,Ras Al Khaimah_region
56.13,25.65,جبل مبرح,Jabal Mebreh ,2003,2026,8,Ras Al Khaimah Emirate,Ras Al Khaimah_region
56.10,25.73,جبل ينس,Jabal Yanas ,2015,2026,8,Ras Al Khaimah Emirate,Ras Al Khaimah_region
55.14,25.09,جميرا,Jumeirah ,2017,2026,6,Dubai Emirate,Dubai_region
56.33,25.00,كلباء,Kalba ,2018,2026,9,Sharjah Emirate,Sharjah_region
55.95,24.21,خطم الشكلة,Khatam Al Shaklah ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
56.36,25.36,ميناء خورفكان,Khor Fakkan Port ,2019,2026,9,Al Fujairah Emirate,Al Fujairah_region
55.61,25.03,لهباب,Lahbab ,2018,2026,7,Dubai Emirate,Dubai_region
53.70,23.68,مدينة زايد,Madinat Zayed ,2003,2026,5,Abu Dhabi Emirate,Al Dhafra Region
51.82,24.66,مكاسب,Makassib ,2003,2026,3,Abu Dhabi Emirate,Al Dhafra Region
56.01,25.33,المنامة,Manama ,2003,2026,7,Ajman Emirate,Ajman_region
55.55,24.88,مرغم,Margham ,2017,2026,1,Dubai Emirate,Dubai_region
56.16,25.36,مسافي,Masafi ,2003,2026,7,Ras Al Khaimah Emirate,Ras Al Khaimah_region
54.56,24.31,مدينة محمد بن زايد,MBZ City ,2024,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
53.84,23.12,مزيرعة,Mezaira ,2004,2026,5,Abu Dhabi Emirate,Al Dhafra Region
55.85,24.03,مزيد,Mezyed ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
52.89,22.91,مخيرز,Mukhariz ,2003,2026,5,Abu Dhabi Emirate,Al Dhafra Region
53.11,23.40,وتييد,Owtaid ,2003,2026,5,Abu Dhabi Emirate,Al Dhafra Region
52.85,24.94,قرنين,Qarnen ,2003,2026,3,Abu Dhabi Emirate,Al Dhafra Region
55.71,24.35,ركنة,Raknah ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
55.94,25.77,رأس الخيمة,Ras Al khaimah ,2016,2026,6,Ras Al Khaimah Emirate,Ras Al Khaimah_region
54.77,24.84,راس غناضة,Ras Ganadah ,2006,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
51.60,24.35,رأس غميس,Ras Ghumais ,2021,2026,3,Abu Dhabi Emirate,Al Dhafra Region
51.65,24.33,جزيرة الفزعية,Al Fzaayyah Island,2005,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.76,23.68,رزين,Rezeen ,2003,2026,4,Abu Dhabi Emirate,Abu Dhabi_region
55.54,24.10,الروضة,Rowdah ,2006,2026,1,Abu Dhabi Emirate,Al Ain_region
56.00,24.10,صاع,Saa ,2023,2026,1,Abu Dhabi Emirate,Al Ain_region
55.31,24.83,سيح السلم,Saih Al Salem ,2003,2026,1,Dubai Emirate,Dubai_region
56.05,25.98,ميناء صقر,Saqr Port ,2013,2026,6,Ras Al Khaimah Emirate,Ras Al Khaimah_region
55.46,25.29,جامعة الشارقة,Sharjah University,2025,2026,6,Sharjah Emirate,Sharjah_region
56.04,25.11,شوكة,Shoukah ,2013,2026,7,Ras Al Khaimah Emirate,Ras Al Khaimah_region
52.60,24.32,صير بني ياس,Sir Bani Yas ,2003,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.23,25.22,صير بو نعير,Sir Bu Nair ,2006,2026,6,Sharjah Emirate,Sharjah_region
55.33,24.47,سويحان,Swiehan ,2003,2026,1,Abu Dhabi Emirate,Al Ain_region
54.33,22.82,تل السراب,Tal Al Sarab ,2022,2026,4,Abu Dhabi Emirate,Al Dhafra Region
54.74,24.78,الطويلة,Taweela 1 ,2018,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
55.68,24.20,جامعة الإمارات,UAE University ,2015,2026,1,Abu Dhabi Emirate,Al Ain_region
55.14,22.72,أم الزمول,Um Azimul ,2003,2026,4,Abu Dhabi Emirate,Al Ain_region
55.95,24.07,أم غافة,Um Ghafa ,2007,2026,1,Abu Dhabi Emirate,Al Ain_region
55.65,25.53,أم القيوين,Umm Al Quwain ,2003,2026,6,Umm Al Quwain Emirate,Umm Al Quwain
56.28,24.88,أم الغاف,Umm Algaf ,2020,2026,7,Ras Al Khaimah Emirate,Ras Al Khaimah_region
54.47,24.48,جزيرة أم يفينة,Umm Yifenah Island ,2024,2026,2,Abu Dhabi Emirate,Abu Dhabi_region
56.13,25.02,وادي الطوى,Wadi Al Tuwa ,2013,2026,7,Ras Al Khaimah Emirate,Ras Al Khaimah_region
51.99,24.19,الياسات,Yasat ,2006,2026,3,Abu Dhabi Emirate,Al Dhafra Region
54.10,23.70,السعدية,Al Saadiah,2014,2026,4,Abu Dhabi Emirate ,Al Dhafra Region
55.97,24.09,الصاع,Al Saa,2014,2026,1,Abu Dhabi Emirate ,Al Ain_region
55.78,24.60,الهير,Al Hayer,2014,2026,1,Abu Dhabi Emirate ,Al Ain_region
53.11,23.40,وتييد,Owtaid,2014,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
54.70,24.18,الوثبة,Al Wathbah,2014,2026,1,Abu Dhabi Emirate ,Abu Dhabi_region
52.79,23.95,غياثي,Ghayaithi,2014,2026,3,Abu Dhabi Emirate ,Al Dhafra Region
53.27,24.01,مجيل الطوي,Al Twi,2023,2026,3,Abu Dhabi Emirate ,Al Dhafra Region
52.63,24.17,الظنة,Al Dhanna,2014,2026,3,Abu Dhabi Emirate ,Al Dhafra Region
55.78,24.88,المدام,Al Madam,2014,2026,1,Sharjah Emirate,Sharjah_region
53.40,23.89,مجيل بو ميركه,Bu Meirka,2021,2026,3,Abu Dhabi Emirate ,Al Dhafra Region
53.36,23.83,مجيل بدع الصلف,Bada Al Salf,2021,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
53.44,23.70,مزرعة بن زعل,Bin Zaal Farm,2021,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
56.35,25.25,مربح الفجيرة,Merbah Fujairah,2016,2026,9,Al Fujairah Emirate,Al Fujairah_region
53.28,23.82,مجيل بدع ثلاب,Bada Thallab,2021,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
56.28,25.59,دبا,Dibba,2016,2026,9,Al Fujairah Emirate,Al Fujairah_region
53.51,23.03,الخريمة,Al Khurimah,2014,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
53.06,23.92,مجيل المعارفة,Al Maarfa,2021,2026,3,Abu Dhabi Emirate ,Al Dhafra Region
56.36,25.35,خورفكان,Khor fakkan,2016,2026,9,Sharjah Emirate,Sharjah_region
52.97,23.86,مجيل بدع مبارك,Bada Mubarak,2021,2026,3,Abu Dhabi Emirate ,Al Dhafra Region
53.05,23.74,مجيل بدع عريد,Bada Areed,2021,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
53.09,24.05,بينونة,Baynouna,2021,2026,3,Abu Dhabi Emirate ,Al Dhafra Region
53.92,23.39,الحلوة,Al Helwah,2014,2026,4,Abu Dhabi Emirate ,Al Dhafra Region
54.48,23.84,عرجان - براري,R4 ARJAN,2014,2026,4,Abu Dhabi Emirate ,Al Dhafra Region
54.31,23.27,موقع الحقول,Oil Site,2014,2026,4,Abu Dhabi Emirate ,Al Dhafra Region
53.10,23.69,غميسة,Ghumeisah,2014,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
52.68,23.69,مليون,Malyoon,2014,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
52.88,22.91,مخيرز,Mukhariz,2014,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
53.37,23.59,الظفرة,Al Dhafrah,2014,2026,5,Abu Dhabi Emirate ,Al Dhafra Region
54.65,24.43,مطار زايد,Zayed International Airport,2003,2026,2,Abu Dhabi Emirate ,Abu Dhabi_region
55.61,24.26,مطار العين,Al Ain Int'l Airport,2003,2026,1,Abu Dhabi Emirate ,Al Ain_region
54.46,24.43,مطار البطين,Al Bateen Airport ,2003,2026,2,Abu Dhabi Emirate ,Abu Dhabi_region
55.18,24.92,مطار آل مكتوم,Al Maktoum Int Airport,2012,2026,2,Dubai Emirate,Dubai_region
55.36,25.25,مطار دبي,Dubai Int'l Airport ,2003,2026,6,Dubai Emirate,Dubai_region
56.32,25.11,مطار الفجيرة,Fujairah Int'l Airport,2003,2026,9,Al Fujairah Emirate,Al Fujairah_region
55.94,25.61,مطار رأس الخيمة,Ras Al Khaimah Int'l Airport ,2003,2026,6,Ras Al Khaimah Emirate,Ras Al Khaimah_region
55.52,25.33,مطار الشارقة,Sharjah Int'l Airport ,2003,2026,6,Sharjah Emirate,Sharjah_region
,,,,,,,,
,,,,,,,,
